AgencyCd,SiteNo,LithologyDescription
TWDB,629703,"More Sand, Less Clay"
TWDB,629703,"Yellow Clay, some Sandy Streaks"
TWDB,629703,"Soft Sand, very little Clay"
TWDB,629703,"Yellowish Hard Clay, Sand Streaks some Gravel"
TWDB,629703,"Soft Sand, some Gravel"
TWDB,629703,"Hard Sand Streaks, Clay"
TWDB,629703,Loose Clean Water Sand
TWDB,647554,Topsoil
TWDB,647554,"Caliche, rock, clay, fine sand"
TWDB,647554,"Clay, fine sand"
TWDB,647554,"Fine sand sandstone, rock, clay"
TWDB,647554,"sandy clay, rock"
TWDB,647554,"Sandy clay, coarse sand, gravel"
TWDB,647554,"Sandy clay, rock"
TWDB,647554,Sandy clay
TWDB,647554,"Sandy clay, rock"
TWDB,647554,"Sandy clay, coarse sand"
TWDB,647554,"Coarse sand, gravel, sandy clay"
TWDB,647554,"Coarse sand, sandy clay"
TWDB,647554,"Coarse sand, gravel"
TWDB,647554,"Blue clay, red bed"
TWDB,644102,surface
TWDB,644102,caliche
TWDB,644102,clay
TWDB,644102,sand
TWDB,644102,sand and clay
TWDB,644102,sand
TWDB,644102,sand and clay
TWDB,644102,clay and rock
TWDB,644102,sand and clay
TWDB,644102,sand
TWDB,644102,sand rock
TWDB,644102,sand rock
TWDB,644102,sand and clay
TWDB,644102,coarse sand
TWDB,644102,hard sand
TWDB,644102,soft sand
TWDB,644102,clay and sand
TWDB,644102,blue clay
TWDB,630401,Top Soil
TWDB,630401,Caliche
TWDB,630401,"Sand, White Gravel"
TWDB,630401,Sand Gravel
TWDB,630401,Heavy Sand Gravel
TWDB,630401,"Sand, Gravel, Red Clay"
TWDB,630401,"Red Clay, Red Bed and Red Bed Sand"
TWDB,644701,Clay
TWDB,644701,Clay
TWDB,644701,Clay
TWDB,644701,Sand
TWDB,644701,Medium Sand Loose
TWDB,644701,Coarse Sand and Gravel
TWDB,644701,Loose Gravel
TWDB,644701,Cement Sand
TWDB,644701,Red Bed
TWDB,645104,Top Soil
TWDB,645104,Caliche
TWDB,645104,Clay
TWDB,645104,Sand
TWDB,645104,Clay and Sand
TWDB,645104,Clay and Sandstone
TWDB,645104,Clay
TWDB,645104,Clay and Sandstone
TWDB,645104,Clay and Sandstone
TWDB,645104,Clay and Sandstone
TWDB,645104,Clay and Sandstone
TWDB,645104,Clay and Sand
TWDB,645104,Sand
TWDB,645104,Clay and Sand
TWDB,645104,Sand and Clay
TWDB,645104,Clay
TWDB,645104,Sand
TWDB,645104,Coarse Sand (K)
TWDB,645104,Loose Gravel (K)
TWDB,645104,Loose Gravel (K)
TWDB,645104,Loose Gravel (K)
TWDB,645104,Loose Gravel and Sand (K)
TWDB,645104,Cement Gravel
TWDB,645513,Fine Sand
TWDB,645513,Clay with some Sand
TWDB,645513,White Sand and Clay Layers (Fine)
TWDB,645513,Hard Fine Sand and White Clay Layers
TWDB,645513,"Fine White Sand, some Brown Soft Clay"
TWDB,645513,Fine Sand
TWDB,645513,Hard Rock
TWDB,645513,Fine Sand and Clay Layers
TWDB,645513,Medium Sand and White Clay
TWDB,645513,"Brown Clay, Hard Drilling"
TWDB,636828,surface soil to clay sandy clay and sand
TWDB,636828,sandy clay clay and sand
TWDB,636828,sand with minor clay strips
TWDB,636828,fine med and minor coarse sand with clittle clay mix
TWDB,636828,med to coarse sand with fine sand and gravel strips
TWDB,636828,med to coarse sand
TWDB,636828,med to coarse sand and gravel with brown sandy clay strips
TWDB,636828,fine med and coarse sand and gravel with sand clay strips
TWDB,636951,Surface
TWDB,636951,Med sand & gravel
TWDB,636951,Blue clay
TWDB,636951,Fine sand w/sandy clay
TWDB,636951,Med to coarse sand& gravel
TWDB,636951,Fine sand & sandy clay
TWDB,636951,Med sand & gravel w/clay strips
TWDB,636951,Fine sand & small gravel w/clay strips
TWDB,636951,Fine sand & clay w/hard strips
TWDB,636951,Clay--Red bed
TWDB,644321,surface top soil brown clay
TWDB,644321,caliche w/rock strip
TWDB,644321,sand w/minor clay strips
TWDB,644321,fine fairly loose sand w/some clay mix
TWDB,644321,fine to med fairly loose sand w/coarse sand strips
TWDB,644321,coarse fairly loose sand w/gravel
TWDB,644321,med to coarse fairly loose sand
TWDB,644321,med to coarse fairly loose sand w/gravel strips
TWDB,644321,med to coarse fairly loose sand
