site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#372616101213801,level,decreasing,True,4.29490776276964e-09,-5.872415444933604,-0.9578947368421052,-182,950.0,-0.6843750000000011,-74.62843749999999,-54.75000000000009
#372802100104801,level,decreasing,True,6.340237668212012e-09,-5.807526876481298,-0.9473684210526315,-180,950.0,-0.9724047619047621,-23.30715476190476,-77.79238095238097
#372841099401201,level,decreasing,True,2.847738450384441e-05,-4.185312665173673,-0.6842105263157895,-130,950.0,-0.125,-43.1475,-10.0
#373005099381801,level,decreasing,True,4.661620877977057e-06,-4.579467107354498,-0.7473684210526316,-142,948.0,-0.1399999999999983,-42.54000000000002,-11.19999999999986
#373054100354402,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-1.051666666666665,-71.16416666666667,-84.13333333333324
#373113101462601,level,decreasing,True,9.682688746348589e-07,-4.897979999789237,-0.8245614035087719,-141,817.0,-0.2050000000000003,-93.71000000000001,-16.40000000000003
#373127099540701,level,decreasing,True,0.0001447058132602042,-3.799983344400541,-0.6210526315789474,-118,948.0,-0.1007941176470585,-36.53745588235294,-8.063529411764684
#373202099071801,level,decreasing,True,0.0001520054036139307,-3.787770095392851,-0.6601307189542484,-101,697.0,-0.1053846153846155,-14.83923076923077,-8.430769230769236
#373209100035801,level,decreasing,True,1.990082609815147e-08,-5.612861171124384,-0.9157894736842105,-174,950.0,-0.851666666666667,-64.05916666666667,-68.13333333333335
#373222100432601,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-1.096666666666664,-79.52000000000002,-87.73333333333312
#373231098480401,level,decreasing,True,0.0,-11.10559583076532,-0.8691228070175439,-2477,49707.0,-0.02615384615384614,-30.04423076923077,-2.092307692307692
#373231100025401,level,decreasing,True,4.311257449840511e-05,-4.090133080915532,-0.6684210526315789,-127,949.0,-0.2711363636363635,-50.53920454545455,-21.69090909090908
#373233098411501,level,decreasing,True,0.0,-10.06102761595787,-0.7873684210526316,-2244,49702.0,-0.02800000000000001,-20.62,-2.240000000000001
#373331101442101,level,decreasing,True,1.364781865298426e-08,-5.677749739576689,-0.9263157894736842,-176,950.0,-0.3328333333333343,-103.8680833333333,-26.62666666666674
#373341099062501,level,decreasing,True,8.474900488053549e-07,-4.924101124010706,-0.8562091503267973,-131,697.0,-0.1283333333333333,-21.48916666666667,-10.26666666666666
#373358099550801,level,decreasing,True,1.108700953267316e-08,-5.71320176381852,-0.9315789473684211,-177,949.0,-0.2177777777777775,-33.12611111111111,-17.4222222222222
#373433101320202,level,decreasing,True,1.538964384817376e-07,-5.247835714059897,-0.8830409356725146,-151,817.0,-0.3916666666666681,-71.625,-31.33333333333345
#373510099335801,level,decreasing,True,0.001318216531535743,-3.211984138389098,-0.5263157894736842,-100,950.0,-0.1380555555555557,-23.53097222222222,-11.04444444444446
#373528099553501,level,decreasing,True,6.337286251323349e-09,-5.807604856892953,-0.9766081871345029,-167,817.0,-0.2466666666666661,-34.62,-19.73333333333329
#373529098330001,level,decreasing,True,0.001049636791259134,-3.276872706841403,-0.5368421052631579,-102,950.0,-0.105718954248366,-19.70066993464052,-8.45751633986928
#373607100565301,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.5964852941176473,-116.2533897058824,-47.71882352941178
#373701101175001,level,decreasing,True,5.001956843586619e-05,-4.055535528269063,-0.6631578947368421,-126,950.0,-0.2843181818181821,-77.35897727272727,-22.74545454545457
#373702099525701,level,decreasing,True,2.487484891400271e-07,-5.158641191958249,-0.8421052631578947,-160,950.0,-0.25,-44.76000000000001,-20.0
#373748101205501,level,decreasing,True,0.0001129840901108459,-3.860869822912148,-0.631578947368421,-120,950.0,-0.3060416666666667,-75.40760416666666,-24.48333333333333
#374014100284601,level,decreasing,True,1.721682223454479e-07,-5.227122731642134,-0.9084967320261438,-139,697.0,-1.694,-42.336,-135.52
#374136101020902,level,decreasing,True,2.897470929852375e-09,-5.937304013385909,-0.968421052631579,-184,950.0,-1.066654411764706,-75.1117830882353,-85.33235294117648
#37420,level,no trend,False,0.07987296900071827,-1.751423610260147,-0.2982456140350877,-51,815.0,-0.01454545454545456,-11.03909090909091,-1.163636363636365
#374323098500101,level,decreasing,True,0.005819816954009793,-2.757764159222963,-0.4526315789473684,-86,950.0,-0.0811111111111111,-14.19444444444444,-6.488888888888889
#374347098554501,level,decreasing,True,0.009406659705687659,-2.596909892644782,-0.4263157894736842,-81,949.0,-0.1107142857142857,-10.83821428571429,-8.857142857142854
#374358098203301,level,no trend,False,0.7399725209819443,-0.3318897360523465,-0.02631578947368421,-75,49713.66666666666,-0.001830143540669841,-17.31303628389155,-0.1464114832535873
#374544101103701,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.7466666666666673,-74.97166666666666,-59.73333333333338
#374638101203801,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.8950000000000007,-62.48249999999999,-71.60000000000005
#374653099070201,level,decreasing,True,0.001049636791259134,-3.276872706841403,-0.5368421052631579,-102,950.0,-0.1430952380952381,-5.505595238095238,-11.44761904761905
#374658099244302,level,decreasing,True,0.0003701438279946068,-3.56050388966928,-0.6209150326797386,-95,697.0,-0.1199999999999999,-13.305,-9.59999999999999
#374717098593501,level,decreasing,True,0.01248222658445419,-2.498209885413743,-0.4105263157894737,-78,950.0,-0.09257575757575756,-6.890530303030303,-7.406060606060604
#374747100552101,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-1.805624999999999,-50.17156250000001,-144.45
#374826101541404,level,decreasing,True,2.29047323174747e-06,-4.725945283594533,-0.7953216374269005,-136,816.0,-1.214615384615385,-42.87846153846154,-97.16923076923078
#374837097225301,level,no trend,False,0.2109849131667991,1.250861771905191,0.2222222222222222,34,696.0,0.02000000000000007,-5.015000000000001,1.600000000000005
#374908098542801,level,no trend,False,0.2989145279201857,-1.038763957057913,-0.1736842105263158,-33,949.0,-0.05017156862745101,-7.018370098039215,-4.013725490196081
#374923098420201,level,no trend,False,0.09799379060302305,-1.654658495533778,-0.2736842105263158,-52,950.0,-0.0679583333333333,-4.139395833333333,-5.436666666666664
#374930098470601,level,no trend,False,0.07138745546092418,-1.803004834277212,-0.1414035087719298,-403,49711.66666666666,-0.01153453689167976,-7.472454866562009,-0.922762951334381
#374931099182901,level,decreasing,True,4.179743462451313e-08,-5.483084034219774,-0.8947368421052632,-170,950.0,-0.2000000000000004,-11.33,-16.00000000000003
#375131097301402,level,no trend,False,0.5696455906988613,0.5685735326841775,0.1045751633986928,16,696.0,0.01624999999999999,-4.283124999999999,1.299999999999999
